종목코드,종목명,대분류,중분류,소분류
000020,동화약품,제조,제약,제약
000040,KR모터스,제조,운송장비·부품,그외 기타 운송장비
000050,경방,유통,유통,유통
000070,삼양홀딩스,금융,금융,기타 금융
000080,하이트진로,제조,음식료·담배,음식료
000100,유한양행,제조,제약,제약
000120,CJ대한통운,운송·창고,운송·창고,운송
000140,하이트진로홀딩스,금융,금융,기타 금융
000150,두산,금융,금융,기타 금융
000180,성창기업지주,일반서비스,일반서비스,회사 본부 및 경영 컨설팅 서비스
0001A0,덕양에너젠,유틸리티,전기·가스,가스
000210,DL,제조,화학,화학
000220,유유제약,제조,제약,제약
000230,일동홀딩스,제조,제약,제약
000240,한국앤컴퍼니,금융,금융,기타 금융
000250,삼천당제약,제조,제약,제약
000270,기아,제조,운송장비·부품,자동차
000300,DH오토넥스,제조,운송장비·부품,자동차부품
000320,노루홀딩스,금융,금융,기타 금융
000370,한화손해보험,금융,보험,보험
000390,삼화페인트,제조,화학,기타 화학제품
000400,롯데손해보험,금융,보험,보험
000430,대원강업,제조,운송장비·부품,자동차부품
000440,중앙에너비스,유통,유통,기타 전문 도매
000480,CR홀딩스,제조,비금속,"내화, 비내화 요제품"
000490,대동,제조,기계·장비,특수 목적용 기계
0004V0,엔비알모션,제조,금속,금속가공
000500,가온전선,제조,전기·전자,절연선 및 케이블
000520,삼일제약,제조,제약,제약
000540,흥국화재,금융,보험,보험
000590,CS홀딩스,금융,금융,기타 금융
000640,동아쏘시오홀딩스,금융,건강관리,제약
000650,천일고속,운송·창고,운송·창고,육상 여객 운송
000660,SK하이닉스,제조,전기·전자,반도체
000670,영풍,제조,금속,비철금속
000680,LS네트웍스,유통,유통,상품 종합 도매
000700,유수홀딩스,일반서비스,일반서비스,운송
000720,현대건설,건설,건설,건설
000760,이화산업,유통,유통,기타 전문 도매
0007C0,아크릴,서비스,IT서비스,소프트웨어
000810,삼성화재,금융,보험,보험
000850,화천기공,제조,기계·장비,특수 목적용 기계
000860,강남제비스코,제조,화학,기타 화학제품
000880,한화,제조,화학,기타 화학제품
000890,보해양조,제조,음식료·담배,음식료
0008Z0,에스엔시스,제조,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치"
000910,유니온,제조,비금속,"시멘트, 석회, 플라스터 및 그 제품"
000950,전방,제조,섬유·의류,방적 및 가공사
000970,한국주철관,제조,금속,철강
000990,DB하이텍,제조,전기·전자,반도체
0009K0,에임드바이오,일반서비스,건강관리,바이오
001000,신라섬유,기타,기타,부동산 임대 및 공급
001020,페이퍼코리아,제조,종이·목재,종이/포장
001040,CJ,금융,금융,기타 금융
001060,JW중외제약,제조,제약,제약
001070,대한방직,제조,섬유·의류,직물직조 및 직물제품
001080,만호제강,제조,금속,철강
0010V0,제이피아이헬스케어,제조,의료·정밀기기,의료기기
001120,LX인터내셔널,유통,유통,상품 중개
001130,대한제분,제조,음식료·담배,"곡물가공품, 전분 및 전분제품"
0011A0,액스비스,제조,전기·전자,기타 전기장비
001200,유진투자증권,금융,증권,증권
001210,금호전기,제조,전기·전자,전구 및 조명장치
001230,동국홀딩스,금융,철강·소재,철강
001250,GS글로벌,유통,유통,상품 종합 도매
001260,남광토건,건설,건설,건설
001270,부국증권,금융,증권,금융 지원 서비스
001290,상상인증권,금융,증권,금융 지원 서비스
001340,PKC,제조,화학,화학
001360,삼성제약,제조,제약,제약
001380,SG글로벌,제조,운송장비·부품,자동차부품
001390,KG케미칼,제조,화학,화학
0013V0,삼진식품,제조,음식료·담배,수산물 가공 및 저장 처리
001420,태원물산,제조,운송장비·부품,자동차부품
001430,세아베스틸지주,제조,금속,철강
001440,대한전선,제조,전기·전자,조선
001450,현대해상,금융,보험,보험
001460,BYC,제조,섬유·의류,섬유/의류
001470,삼부토건,건설,건설,건설
001500,현대차증권,금융,증권,증권
001510,SK증권,금융,증권,증권
001520,동양,제조,비금속,건설
001530,DI동일,유통,유통,상품 중개
001540,안국약품,제조,제약,제약
001550,조비,제조,화학,"비료, 농약 및 살균, 살충제"
001560,제일연마,제조,비금속,기타 비금속 광물제품
001570,금양,제조,화학,화학
0015G0,그린광학,제조,의료·정밀기기,사진장비 및 광학기기
0015N0,아로마티카,제조,화학,화장품
0015S0,페스카로,일반서비스,일반서비스,"그외 기타 전문, 과학 및 기술 서비스"
001620,케이비아이동국실업,제조,운송장비·부품,자동차부품
001630,종근당홀딩스,제조,제약,제약
001680,대상,제조,음식료·담배,기타 식품
001720,신영증권,금융,증권,증권
001740,SK네트웍스,유통,유통,기타 전문 도매
001750,한양증권,금융,증권,금융 지원 서비스
001770,SHD,제조,금속,철강
001780,알루코,제조,금속,비철금속
001790,대한제당,제조,음식료·담배,"곡물가공품, 전분 및 전분제품"
001800,오리온홀딩스,금융,금융,기타 금융
001810,무림SP,제조,종이·목재,종이/포장
001820,삼화콘덴서,제조,전기·전자,전자부품
001840,이화공영,건설,건설,건설
001940,KISCO홀딩스,제조,금속,철강
002020,코오롱,금융,금융,기타 금융
002030,아세아,일반서비스,일반서비스,회사 본부 및 경영 컨설팅 서비스
002070,비비안,제조,섬유·의류,섬유/의류
002100,경농,제조,화학,"비료, 농약 및 살균, 살충제"
002140,고려산업,제조,음식료·담배,"곡물가공품, 전분 및 전분제품"
002150,도화엔지니어링,일반서비스,일반서비스,"건축기술, 엔지니어링 및 관련 기술 서비스"
002170,삼양통상,제조,섬유·의류,"가죽, 가방 및 유사제품"
002200,한국수출포장,제조,종이·목재,"골판지, 종이 상자 및 종이용기"
002210,동성제약,제조,제약,제약
002220,한일철강,제조,금속,철강
002230,피에스텍,제조,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기; 광학기기 제외"
002240,고려제강,제조,금속,철강
002290,삼일기업공사,건설,건설,건설
002310,아세아제지,제조,종이·목재,"골판지, 종이 상자 및 종이용기"
002320,한진,운송·창고,운송·창고,운송
002350,넥센타이어,제조,화학,자동차
002360,SH에너지화학,제조,화학,화학
002380,KCC,제조,화학,건설
002390,한독,제조,제약,제약
002410,범양건영,건설,건설,건설
002420,세기상사,유통,유통,연료 소매
002450,삼익악기,제조,제조,악기
